,User,Day in Study,Time of Day,Brush Time,Day Type,Proportion Brushed In Past 7 Days
504,P2_025,1,0,96.0,0,0.0
505,P2_025,1,1,99.0,0,0.0
506,P2_025,2,0,142.0,0,0.0
507,P2_025,2,1,112.0,0,0.0
508,P2_025,3,0,107.0,0,0.0
509,P2_025,3,1,108.0,0,0.0
510,P2_025,4,0,114.0,0,0.0
511,P2_025,4,1,0.0,0,0.0
512,P2_025,5,0,119.0,1,0.0
513,P2_025,5,1,133.0,1,0.0
514,P2_025,6,0,107.0,1,0.0
515,P2_025,6,1,131.0,1,0.0
516,P2_025,7,0,133.0,0,0.0
517,P2_025,7,1,115.0,0,0.0
518,P2_025,8,0,97.0,0,0.9285714285714286
519,P2_025,8,1,0.0,0,0.9285714285714286
520,P2_025,9,0,91.0,0,0.8571428571428571
521,P2_025,9,1,86.0,0,0.8571428571428571
522,P2_025,10,0,131.0,0,0.8571428571428571
523,P2_025,10,1,120.0,0,0.8571428571428571
524,P2_025,11,0,118.0,0,0.8571428571428571
525,P2_025,11,1,115.0,0,0.8571428571428571
526,P2_025,12,0,0.0,1,0.9285714285714286
527,P2_025,12,1,122.0,1,0.8571428571428571
528,P2_025,13,0,121.0,1,0.8571428571428571
529,P2_025,13,1,133.0,1,0.8571428571428571
530,P2_025,14,0,125.0,0,0.8571428571428571
531,P2_025,14,1,0.0,0,0.8571428571428571
532,P2_025,15,0,102.0,0,0.7857142857142857
533,P2_025,15,1,125.0,0,0.7857142857142857
534,P2_025,16,0,140.0,0,0.8571428571428571
535,P2_025,16,1,0.0,0,0.8571428571428571
536,P2_025,17,0,125.0,0,0.7857142857142857
537,P2_025,17,1,123.0,0,0.7857142857142857
538,P2_025,18,0,130.0,0,0.7857142857142857
539,P2_025,18,1,112.0,0,0.7857142857142857
540,P2_025,19,0,129.0,1,0.7857142857142857
541,P2_025,19,1,111.0,1,0.8571428571428571
542,P2_025,20,0,125.0,1,0.8571428571428571
543,P2_025,20,1,108.0,1,0.8571428571428571
544,P2_025,21,0,113.0,0,0.8571428571428571
545,P2_025,21,1,55.0,0,0.8571428571428571
546,P2_025,22,0,0.0,0,0.9285714285714286
547,P2_025,22,1,105.0,0,0.8571428571428571
548,P2_025,23,0,117.0,0,0.8571428571428571
549,P2_025,23,1,114.0,0,0.8571428571428571
550,P2_025,24,0,97.0,0,0.9285714285714286
551,P2_025,24,1,85.0,0,0.9285714285714286
552,P2_025,25,0,133.0,0,0.9285714285714286
553,P2_025,25,1,126.0,0,0.9285714285714286
554,P2_025,26,0,115.0,1,0.9285714285714286
555,P2_025,26,1,161.0,1,0.9285714285714286
556,P2_025,27,0,147.0,1,0.9285714285714286
557,P2_025,27,1,95.0,1,0.9285714285714286
558,P2_025,28,0,0.0,0,0.9285714285714286
559,P2_025,28,1,0.0,0,0.8571428571428571
560,P2_027,1,0,181.0,0,0.0
561,P2_027,1,1,185.0,0,0.0
562,P2_027,2,0,130.0,0,0.0
563,P2_027,2,1,124.0,0,0.0
564,P2_027,3,0,180.0,0,0.0
565,P2_027,3,1,189.0,0,0.0
566,P2_027,4,0,153.0,0,0.0
567,P2_027,4,1,150.0,0,0.0
568,P2_027,5,0,219.0,0,0.0
569,P2_027,5,1,196.0,0,0.0
570,P2_027,6,0,165.0,1,0.0
